Scene Number, Scene Name, Target Number, Cube Size, CubeStartingPositionX, CubeStartingPositionY, CubeStartingPositionZ, RotationY, FinalCubePositionX, FinalCubePositionY, FinalCubePositionZ, Time Taken, PositionOfTargetX, PositionOfTargetY, PositionOfTargetZ, Error
68, 0112, 8, 0.266306, -0.1055191, 0, 1.416729, 0, -0.1055191, 0, 6.216725, 19.40002, 0, -1.66, 6.18, 0.03672504
69, 0001, 5, 0.4535881, -0.3229623, 0, 6.267172, 89, -0.3229623, 0, 5.367173, 11.3739, 0, -1.66, 4.71, 0.6571732
70, 0102, 1, 0.4636256, -0.1240404, 0, 2.350193, 71, -0.1240404, 0, 2.550192, 15.13745, 0, -1.66, 2.75, -0.1998076
71, 1111, 3, 0.4317863, 0.2267039, 0, 4.249304, 0, 0.2267039, 0, 3.749305, 19.55029, 0, -1.66, 3.73, 0.01930475
72, 0011, 2, 0.254268, 0.2478401, 0, 5.146943, 0, 0.2478401, 0, 2.846945, 12.6062, 0, -1.66, 3.24, -0.3930547
73, 1012, 8, 0.3581478, 0.2065225, 0, 5.883606, 0, 0.2065225, 0, 6.183606, 13.18896, 0, -1.66, 6.18, 0.003606319
74, 0011, 8, 0.4696812, 0.1520058, 0, 6.313688, 0, 0.1520058, 0, 6.613688, 7.643311, 0, -1.66, 6.18, 0.4336877
75, 1100, 2, 0.4593165, -0.1059092, 0, 3.878151, 30, -0.1059092, 0, 3.278152, 16.20337, 0, -1.66, 3.24, 0.03815198
76, 1001, 8, 0.1787368, -0.2533855, 0, 5.822249, 16, -0.2533855, 0, 6.122249, 49.95825, 0, -1.66, 6.18, -0.0577507
77, 0011, 5, 0.1716313, -0.02629504, 0, 3.614666, 0, -0.02629504, 0, 4.514665, 23.26392, 0, -1.66, 4.71, -0.1953354
78, 0001, 1, 0.3884303, -0.0318417, 0, 4.662279, 30, -0.0318417, 0, 2.462281, 27.59351, 0, -1.66, 2.75, -0.2877188
79, 0100, 2, 0.1745723, -0.08215004, 0, 5.874526, 76, -0.08215004, 0, 2.874528, 46.09448, 0, -1.66, 3.24, -0.3654716
80, 1100, 6, 0.4494634, 0.0653066, 0, 4.789716, 69, 0.0653066, 0, 5.289715, 23.43066, 0, -1.66, 5.2, 0.08971548
